Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path
COMERCIO;EROSKI SOCIEDAD COOPERATIVA;2018;S1;2018124347;3955;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018124347.xbrl
COMERCIO;INDUSTRIA DE DISEÑO TEXTIL, S.A.;2018;S1;2018111583;2603;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111583.xbrl
METAL MECÁNICA;ACERINOX, S.A.;2018;S1;2018091082;7880;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018091082.xbrl
METAL MECÁNICA;ACERINOX, S.A.;2018;S2;2019025940;168;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025940.xbrl
METAL MECÁNICA;CIE AUTOMOTIVE, S.A.;2018;S1;2018088753;7649;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018088753.xbrl
METAL MECÁNICA;CIE AUTOMOTIVE, S.A.;2018;S2;2019023773;174;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019023773.xbrl
METAL MECÁNICA;DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.;2018;S1;2018111259;630;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111259.xbrl
METAL MECÁNICA;DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.;2018;S2;2019025957;532;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025957.xbrl
METAL MECÁNICA;LINGOTES ESPECIALES, S.A.;2018;S1;2018087413;286;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018087413.xbrl
METAL MECÁNICA;LINGOTES ESPECIALES, S.A.;2018;S2;2019026439;149;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026439.xbrl
METAL MECÁNICA;NYESA VALORES CORPORACION, S.A.;2018;S1;2018111798;1037;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111798.xbrl
METAL MECÁNICA;NYESA VALORES CORPORACION, S.A.;2018;S2;2019026685;1557;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026685.xbrl
ALIMENTACIÓN;BARON DE LEY, S.A.;2018;S1;2018090096;238;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090096.xbrl
ALIMENTACIÓN;BARON DE LEY, S.A.;2018;S2;2019026680;152;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026680.xbrl
ALIMENTACIÓN;BIOSEARCH, S.A.;2018;S1;2018092096;3275;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092096.xbrl
ALIMENTACIÓN;BIOSEARCH, S.A.;2018;S2;2019025701;4118;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025701.xbrl
ALIMENTACIÓN;BODEGAS RIOJANAS, S.A.;2018;S1;2018092125;905;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092125.xbrl
ALIMENTACIÓN;BODEGAS RIOJANAS, S.A.;2018;S2;2019026665;1644;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026665.xbrl
ALIMENTACIÓN;DEOLEO, S.A.;2018;S1;2018092845;3824;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092845.xbrl
ALIMENTACIÓN;DEOLEO, S.A.;2018;S2;2019026657;1598;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026657.xbrl
ALIMENTACIÓN;EBRO FOODS, S.A.;2018;S1;2018089696;2303;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089696.xbrl
ALIMENTACIÓN;EBRO FOODS, S.A.;2018;S2;2019026516;2905;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026516.xbrl
CONSTRUCCIÓN;ABENGOA, S.A.;2018;S1;2018111836;11358;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111836.xbrl
CONSTRUCCIÓN;ABENGOA, S.A.;2018;S2;2019024403;2578;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024403.xbrl
CONSTRUCCIÓN;ACCIONA, S.A.;2018;S1;2018090953;6293;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090953.xbrl
CONSTRUCCIÓN;ACCIONA, S.A.;2018;S2;2019026831;171;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026831.xbrl
CONSTRUCCIÓN;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;2018;S1;2018089835;7097;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089835.xbrl
CONSTRUCCIÓN;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;2018;S2;2019025736;4795;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025736.xbrl
CONSTRUCCIÓN;COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.;2018;S1;2018111652;3100;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111652.xbrl
CONSTRUCCIÓN;COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.;2018;S2;2019026691;326;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026691.xbrl
CONSTRUCCIÓN;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.;2018;S1;2018094656;2927;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018094656.xbrl
CONSTRUCCIÓN;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.;2018;S2;2019025070;193;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025070.xbrl
INMOBILIARIAS;AYCO GRUPO INMOBILIARIO, S.A.;2018;S1;2018103286;2194;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018103286.xbrl
INMOBILIARIAS;AYCO GRUPO INMOBILIARIO, S.A.;2018;S2;2019026745;3900;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026745.xbrl
