Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I1040;I1085;I1100;I1195;I1120;I1130;I1200;I1245;I1256;I1265;I1280;I1285;I1288;I1290;I1295;I1305;I1310;I1350;I1400;I2295;I2296;I2297
INMOBILIARIAS;COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER, S.A.;2018;S1;2018108902;755;<repositoryPath>/2018108902.xbrl;437849922.87;30715853.00;468565775.87;309915736.16;144275501.85;14374537.86;468565775.87;40508586.14;-715160.48;39793425.66;31055876.20;0.00;31055876.20;1.16;1.16;31055876.20;;-260657.80;30795218.40;14;8;6
INMOBILIARIAS;COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER, S.A.;2018;S2;2019026035;1382;<repositoryPath>/2019026035.xbrl;453457000;27181000;480638000;325271000;146967000;8400000;480638000;;;;;;;;;;;;;14;8;6
INMOBILIARIAS;FINANZAS E INVERSIONES VALENCIANAS, S.A.;2018;S1;2018095044;488;<repositoryPath>/2018095044.xbrl;;;;;;;;;;;;;;;;;;;;3;3;
INMOBILIARIAS;FINANZAS E INVERSIONES VALENCIANAS, S.A.;2018;S2;2019021915;565;<repositoryPath>/2019021915.xbrl;0;0;0;0;0;0;0;;;;;;;;;;;;;3;3;
INMOBILIARIAS;INMOBILIARIA COLONIAL, SOCIMI, S.A.;2018;S1;2018092981;18730;<repositoryPath>/2018092981.xbrl;11200531000;873025000;12073556000;6002590000;5434793000;636173000;12073556000;428565000;-56371000;372194000;356414000;;356414000;0.59;0.59;356414000;;-60825000;295589000;78;33;45
INMOBILIARIAS;INMOBILIARIA COLONIAL, SOCIMI, S.A.;2018;S2;2019025081;170;<repositoryPath>/2019025081.xbrl;11225314000;262000000;11487314000;6101795000;4943389000;442130000;11487314000;;;;;;;;;;;;;86;36;50
INMOBILIARIAS;INMOBILIARIA DEL SUR, S.A.;2018;S1;2018092849;1759;<repositoryPath>/2018092849.xbrl;195564000;179389000;374953000;98796000;127535000;148622000;374953000;6981000;-3128000;4086000;3076000;;3076000;0.18;0.18;3076000;;;3076000;36;20;16
INMOBILIARIAS;INMOBILIARIA DEL SUR, S.A.;2018;S2;2019024944;157;<repositoryPath>/2019024944.xbrl;197349000;164867000;362216000;103804000;122701000;135711000;362216000;;;;;;;;;;;;;24;12;12
INMOBILIARIAS;LAR ESPAÑA REAL ESTATE SOCIMI, S.A.;2018;S1;2018091094;12177;<repositoryPath>/2018091094.xbrl;1351984000;219941000;1571925000;938071000;572867000;60987000;1571925000;51274000;-6969000;43855000;43855000;;43855000;0.47;0.47;43855000;;171000;44026000;4;3;1
INMOBILIARIAS;LAR ESPAÑA REAL ESTATE SOCIMI, S.A.;2018;S2;2019025097;156;<repositoryPath>/2019025097.xbrl;1390988000;290615000;1681603000;1008498000;606014000;67091000;1681603000;;;;;;;;;;;;;4;3;1
INMOBILIARIAS;LIBERTAS 7, S.A.;2018;S1;2018091078;572;<repositoryPath>/2018091078.xbrl;80198005.63;67246191.24;147444196.87;93141245.65;39296221.10;15006730.12;147444196.87;1604402.11;-284922.59;-376749.03;-859927.38;;-859927.38;-0.04;-0.04;-859927.38;-830552.21;-1275190.29;-2965669.88;26;16;10
INMOBILIARIAS;LIBERTAS 7, S.A.;2018;S2;2019026784;157;<repositoryPath>/2019026784.xbrl;83749000;61859000;145608000;91872000;37553000;16183000;145608000;;;;;;;;;;;;;28;16;12
INMOBILIARIAS;QUABIT INMOBILIARIA, S.A.;2018;S1;2018091074;5946;<repositoryPath>/2018091074.xbrl;81052064;511903325;592955389;286590545;24216978;282147866;592955389;3652885;-2447530;1179473;1143084;;1143084;0.01;0.01;1143084;;;1143084;58;29;29
INMOBILIARIAS;QUABIT INMOBILIARIA, S.A.;2018;S2;2019025897;158;<repositoryPath>/2019025897.xbrl;73349000;507428000;580777000;295818000;18219000;266740000;580777000;;;;;;;;;;;;;64;32;32
INMOBILIARIAS;REALIA BUSINESS, S.A.;2018;S1;2018096508;2637;<repositoryPath>/2018096508.xbrl;1581839000;421577000;2003416000;1058290000;879507000;65619000;2003416000;42276000;-7274000;36276000;27329000;;27329000;;;27329000;;-1003000;26326000;39;25;14
INMOBILIARIAS;REALIA BUSINESS, S.A.;2018;S2;2019027024;166;<repositoryPath>/2019027024.xbrl;1604568000;459625000;2064193000;1233506000;774867000;55820000;2064193000;;;;;;;;;;;;;40;25;15
INMOBILIARIAS;RENTA CORPORACION REAL ESTATE, S.A.;2018;S1;2018086794;5802;<repositoryPath>/2018086794.xbrl;49011000;67172000;116183000;53187000;27774000;35222000;116183000;7687000;-466000;7221000;7516000;;7516000;0.23;;7516000;;;7516000;23;6;17
INMOBILIARIAS;RENTA CORPORACION REAL ESTATE, S.A.;2018;S2;2019025705;160;<repositoryPath>/2019025705.xbrl;58959000;72256000;131215000;61492000;42259000;27464000;131215000;;;;;;;;;;;;;23;6;17
INMOBILIARIAS;SACYR, S.A.;2018;S1;2018091596;2979;<repositoryPath>/2018091596.xbrl;8661157000;5366834000;14027991000;1652412000;7743702000;4631877000;14027991000;171124000;-236426000;120770000;96588000;;96588000;0.14;0.14;96588000;;14490000;111078000;237;124;113
INMOBILIARIAS;SACYR, S.A.;2018;S2;2019026524;2353;<repositoryPath>/2019026524.xbrl;8895502000;4954308000;13849810000;1507191000;7915874000;4426745000;13849810000;;;;;;;;;;;;;249;131;118
INMOBILIARIAS;GRUPO EMPRESARIAL SAN JOSE, S.A.;2018;S1;2018090922;2209;<repositoryPath>/2018090922.xbrl;256417000;651741000;908158000;-27800000;428867000;507091000;908158000;21665000;-2359000;18352000;12149000;;12149000;;;12149000;81000;-7504000;4726000;81;42;39
INMOBILIARIAS;GRUPO EMPRESARIAL SAN JOSE, S.A.;2018;S2;2019026833;487;<repositoryPath>/2019026833.xbrl;274545000;721252000;995797000;-6132000;319056000;682873000;995797000;;;;;;;;;;;;;75;39;36
INMOBILIARIAS;URBAS GRUPO FINANCIERO, S.A.;2018;S1;2018111786;1264;<repositoryPath>/2018111786.xbrl;37751000;501063000;538814000;311356000;13746000;213712000;538814000;-571000;-6106000;-6677000;-6677000;;-6677000;;;-6677000;;;-6677000;9;4;5
INMOBILIARIAS;URBAS GRUPO FINANCIERO, S.A.;2018;S2;2019026813;1129;<repositoryPath>/2019026813.xbrl;37674000;506177000;543851000;318907000;16705000;208239000;543851000;;;;;;;;;;;;;9;4;5
TRANSPORTES Y COMUNICACIONES;AMADEUS IT GROUP, S.A.;2018;S1;2018091631;6335;<repositoryPath>/2018091631.xbrl;7038100000;1241200000;8279300000;2942500000;2620200000;2716600000;8279300000;789100000;-19300000;773100000;573000000;;573000000;1.33;1.33;573000000;;4600000;577600000;943;431;512
TRANSPORTES Y COMUNICACIONES;AMADEUS IT GROUP, S.A.;2018;S2;2019025896;15475;<repositoryPath>/2019025896.xbrl;8759000000;1371100000;10130100000;3191700000;4245300000;2693100000;10130100000;;;;;;;;;;;;;976;454;522
TRANSPORTES Y COMUNICACIONES;ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.;2018;S1;2018089974;1251;<repositoryPath>/2018089974.xbrl;640691000;677742000;1318433000;447399000;214136000;656898000;1318433000;91669000;-1890000;89497000;69268000;;69268000;0.31;0.31;69268000;;1202000;70470000;445;221;224
TRANSPORTES Y COMUNICACIONES;ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.;2018;S2;2019025903;171;<repositoryPath>/2019025903.xbrl;608451000;750168000;1358619000;420530000;344728000;593361000;1358619000;;;;;;;;;;;;;445;221;224
TRANSPORTES Y COMUNICACIONES;AUTOPISTA CONCESIONARIA ASTUR-LEONESA, S.A.U.;2018;S1;2018099373;305;<repositoryPath>/2018099373.xbrl;;;;;;;;;;;;;;;;;;;;65;55;10
TRANSPORTES Y COMUNICACIONES;AUTOPISTAS DEL ATLANTICO, CONCESIONARIA ESPAÑOLA, S.A.U.;2018;S1;2018099362;454;<repositoryPath>/2018099362.xbrl;;;;;;;;;;;;;;;;;;;;209;129;80
TRANSPORTES Y COMUNICACIONES;ENAGAS, S.A.;2018;S1;2018085463;6815;<repositoryPath>/2018085463.xbrl;8430444000;1337499000;9767943000;2985028000;5935546000;847369000;9767943000;359987000;-65770000;294217000;230198000;;230198000;0.92;0.92;230198000;32880000;1340000;264418000;345;167;178
TRANSPORTES Y COMUNICACIONES;ENAGAS, S.A.;2018;S2;2019025071;505;<repositoryPath>/2019025071.xbrl;7915622000;1610580000;9526202000;3039371000;5911074000;575757000;9526202000;;;;;;;;;;;;;352;181;171
TRANSPORTES Y COMUNICACIONES;EUSKALTEL, S.A.;2018;S1;2018090989;1212;<repositoryPath>/2018090989.xbrl;2737072000;145336000;2882408000;966288000;1592408000;323712000;2882408000;62742000;-24213000;38529000;28811000;;28811000;0.16;0.16;28811000;;;28811000;337;165;172
TRANSPORTES Y COMUNICACIONES;EUSKALTEL, S.A.;2018;S2;2019025860;160;<repositoryPath>/2019025860.xbrl;2721017000;177671000;2898688000;974886000;1562189000;361613000;2898688000;;;;;;;;;;;;;334;163;171
TRANSPORTES Y COMUNICACIONES;FERROVIAL, S.A.;2018;S1;2018090832;8799;<repositoryPath>/2018090832.xbrl;15320528577;8131229143;23451757720;6003820024;11316721411;6131216285;23451757720;-52173467;-118747598;-36146870;-53298862;;-53298862;-0.10;-0.10;-53298862;84116700;-24370978;6446860;83;56;27
TRANSPORTES Y COMUNICACIONES;FERROVIAL, S.A.;2018;S2;2019026724;462;<repositoryPath>/2019026724.xbrl;12054995000;10757808000;22812803000;5363203000;10152829000;7296771000;22812803000;;;;;;;;;;;;;84;56;28
TRANSPORTES Y COMUNICACIONES;MEDIASET ESPAÑA COMUNICACION, S.A.;2018;S1;2018089897;5250;<repositoryPath>/2018089897.xbrl;849230244;323301875;1172532119;827219271;37089546;308223302;1172532119;152333367;4367630;162450162;125248994;0;125248994;0.38;0.38;125248994;0;0;125248994;1050;547;503
TRANSPORTES Y COMUNICACIONES;MEDIASET ESPAÑA COMUNICACION, S.A.;2018;S2;2019025677;164;<repositoryPath>/2019025677.xbrl;775214000;420955000;1196169000;904805000;37266000;254098000;1196169000;;;;;;;;;;;;;1046;545;501
TRANSPORTES Y COMUNICACIONES;PROMOTORA DE INFORMACIONES, S.A.;2018;S1;2018088709;3539;<repositoryPath>/2018088709.xbrl;1103117000;802266000;1905383000;31477000;1330677000;543229000;1905383000;80508000;-44122000;38825000;16025000;0;16025000;0;0;16025000;-30104000;-19476000;-33555000;38;12;26
TRANSPORTES Y COMUNICACIONES;PROMOTORA DE INFORMACIONES, S.A.;2018;S2;2019025019;1573;<repositoryPath>/2019025019.xbrl;813269000;847453000;1660722000;-235809000;1325373000;571158000;1660722000;;;;;;;;;;;;;37;12;25
TRANSPORTES Y COMUNICACIONES;SANTANDER CONSUMER FINANCE, S.A.;2018;S1;2018108505;7623;<repositoryPath>/2018108505.xbrl;4956985000;;309093000;;999204000;1532717000;;;;;;;;;;;;;;3;2;1
TRANSPORTES Y COMUNICACIONES;SANTANDER CONSUMER FINANCE, S.A.;2018;S2;2019034054;235;<repositoryPath>/2019034054.xbrl;5871676000000;;412138000000;;972488000000;679249000000;;;;;;;;;;;;;;3;2;1
TRANSPORTES Y COMUNICACIONES;TELEFONICA, S.A.;2018;S1;2018089933;4546;<repositoryPath>/2018089933.xbrl;91567325000;19383986000;110951311000;23714807000;59397044000;27839460000;110951311000;3696990000;-382790000;3318706000;2020684000;;2020684000;0.29;0.29;2020684000;-48524000;-3012083000;-1039923000;1123;500;623
TRANSPORTES Y COMUNICACIONES;TELEFONICA, S.A.;2018;S2;2019022723;191;<repositoryPath>/2019022723.xbrl;90707054000;23340186000;114047240000;26980037000;57418389000;29648814000;114047240000;;;;;;;;;;;;;1144;518;626
TRANSPORTES Y COMUNICACIONES;VERTICE TRESCIENTOS SESENTA GRADOS, S.A.;2018;S1;2018103512;379;<repositoryPath>/2018103512.xbrl;9728000;4280000;14008000;7239000;1632000;5137000;14008000;1296000;-16000;1280000;1280000;;1280000;;;1280000;;;1280000;3;2;1
TRANSPORTES Y COMUNICACIONES;VERTICE TRESCIENTOS SESENTA GRADOS, S.A.;2018;S2;2019023915;351;<repositoryPath>/2019023915.xbrl;11197000;4416000;15613000;7611000;1533000;6469000;15613000;;;;;;;;;;;;;1;;1
TRANSPORTES Y COMUNICACIONES;VOCENTO, S.A.;2018;S1;2018091070;12720;<repositoryPath>/2018091070.xbrl;324172889;118442451;442615340;251682788;72652596;118279956;442615340;7531526;-1973342;5561261;3573827;;3573827;0.003;;3573827;0;290894;3864721;37;18;19
TRANSPORTES Y COMUNICACIONES;VOCENTO, S.A.;2018;S2;2019025683;160;<repositoryPath>/2019025683.xbrl;344752000;124738000;469490000;280441000;66786000;122263000;469490000;;;;;;;;;;;;;42;19;23
OTRAS INDUSTRIAS MANUFACTURERAS;AZKOYEN, S.A.;2018;S1;2018092967;960;<repositoryPath>/2018092967.xbrl;80716000;73907000;154623000;104322000;8358000;41943000;154623000;8348000;-73000;8275000;6265000;;6265000;0.26;0.26;6265000;;74000;6339000;238;157;81
OTRAS INDUSTRIAS MANUFACTURERAS;AZKOYEN, S.A.;2018;S2;2019025968;163;<repositoryPath>/2019025968.xbrl;81542000;71131000;152673000;112951000;6023000;33699000;152673000;;;;;;;;;;;;;240;156;84
OTRAS INDUSTRIAS MANUFACTURERAS;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A;2018;S1;2018089887;12461;<repositoryPath>/2018089887.xbrl;1019499000;1984073000;3003572000;733848000;852256000;1417468000;3003572000;66775000;-29805000;36265000;17522000;0;17522000;0.53;0.53;17522000;869000;-25408000;-7017000;4183;3695;488
OTRAS INDUSTRIAS MANUFACTURERAS;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A;2018;S2;2019025798;182;<repositoryPath>/2019025798.xbrl;1390647000;2615314000;4005961000;757267000;1091698000;2156996000;4005961000;;;;;;;;;;;;;4237;3741;496
OTRAS INDUSTRIAS MANUFACTURERAS;DURO FELGUERA, S.A.;2018;S1;2018111358;1242;<repositoryPath>/2018111358.xbrl;112922000;541922000;654844000;-241176000;25019000;871001000;654844000;-52361000;-8723000;-61084000;-62384000;;-62384000;-0.38;-0.38;-62384000;-13931000;493000;-75822000;651;474;177
OTRAS INDUSTRIAS MANUFACTURERAS;DURO FELGUERA, S.A.;2018;S2;2019026875;1661;<repositoryPath>/2019026875.xbrl;142251000;516072000;658323000;-29263000;147775000;539811000;658323000;;;;;;;;;;;;;659;489;170
OTRAS INDUSTRIAS MANUFACTURERAS;NICOLAS CORREA, S.A.;2018;S1;2018103238;568;<repositoryPath>/2018103238.xbrl;38761084;42914976;81676060;41790228;8265372;31620460;81676060;2096354;-135929;2035485;1873022;;1873022;0.15;0.15;1873022;;2318;1875340;191;168;23
OTRAS INDUSTRIAS MANUFACTURERAS;NICOLAS CORREA, S.A.;2018;S2;2019026052;162;<repositoryPath>/2019026052.xbrl;35340000;46128000;81468000;47915000;7613000;25940000;81468000;;;;;;;;;;;;;192;170;22
OTRAS INDUSTRIAS MANUFACTURERAS;SNIACE, S.A.;2018;S1;2018111811;381;<repositoryPath>/2018111811.xbrl;121685000;10833000;132518000;15763000;68152000;48603000;132518000;-5962000;-1748000;-8219000;-8315000;;-8315000;;;-8315000;;;-8315000;86;66;20
OTRAS INDUSTRIAS MANUFACTURERAS;SNIACE, S.A.;2018;S2;2019026658;406;<repositoryPath>/2019026658.xbrl;133104000;21355000;154459000;49084000;69200000;36175000;154459000;;;;;;;;;;;;;87;61;26
OTRAS INDUSTRIAS MANUFACTURERAS;SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.;2018;S1;2018110834;1742;<repositoryPath>/2018110834.xbrl;280710135;36309755;317019890;66742814;234436719;15840357;317019890;11833090;-5436027;6397063;11477063;;11477063;;;11477063;;-525830;10951233;29;26;3
OTRAS INDUSTRIAS MANUFACTURERAS;SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.;2018;S2;2019024990;158;<repositoryPath>/2019024990.xbrl;288339000;106331000;394670000;170914000;206840000;16916000;394670000;;;;;;;;;;;;;41;36;5
BANCOS;BANCA MARCH, S.A.;2018;S1;2018111481;844;<repositoryPath>/2018111481.xbrl;1468675000;;432759000;;298005000;165266000;30000;;;;;;;;;;;;;1349;691;658
BANCOS;BANCO DE SABADELL, S.A.;2018;S1;2018096986;14971;<repositoryPath>/2018096986.xbrl;19755567000;;3361446000;;7112430000;2674801000;-3935000;;;;;;;;;;;;;15310;7531;7779
BANCOS;BANCO DE SABADELL, S.A.;2018;S2;2019020946;286;<repositoryPath>/2019020946.xbrl;23494479000;;2497703000;;6859405000;1639985000;36502000;;;;;;;;;;;;;15319;7527;7792
BANCOS;BANCO SANTANDER, S.A.;2018;S1;2018092679;9322;<repositoryPath>/2018092679.xbrl;107687498000;;23461970000;;30050906000;10065818000;317305000;;;;;;;;;;;;;21491;11585;9906
BANCOS;BANCO SANTANDER, S.A.;2018;S2;2019026795;310;<repositoryPath>/2019026795.xbrl;113662983000;;26155726000;;30251433000;9347825000;303231000;;;;;;;;;;;;;30421;16609;13812
BANCOS;BANKIA, S.A;2018;S1;2018092911;13923;<repositoryPath>/2018092911.xbrl;2517813000;;2348940000;;10942729000;1095119000;0;;;;;;;;;;;;;16238;7295;8943
BANCOS;BANKIA, S.A;2018;S2;2019022221;684;<repositoryPath>/2019022221.xbrl;4753800000;;2189693000;;11088695000;1639569000;;;;;;;;;;;;;;16179;7261;8918
BANCOS;BANKINTER, S.A.;2018;S1;2018090459;10187;<repositoryPath>/2018090459.xbrl;6632418000;;489092000;;543831000;220811000;3235000;;;;;;;;;;;;;4499;2171;2328
BANCOS;BANKINTER, S.A.;2018;S2;2019023246;265;<repositoryPath>/2019023246.xbrl;5503428000;;473411000;;547502000;209248000;19748000;;;;;;;;;;;;;4509;2179;2330
BANCOS;BANCO BILBAO VIZCAYA ARGENTARIA, S.A.;2018;S1;2018092897;13154;<repositoryPath>/2018092897.xbrl;37278749000;;6736256000;;17415997000;4900673000;0;;;;;;;;;;;;;26356;13178;13178
BANCOS;BANCO BILBAO VIZCAYA ARGENTARIA, S.A.;2018;S2;2019019615;302;<repositoryPath>/2019019615.xbrl;58196245000;;7228939000;;18100133000;5471875000;;;;;;;;;;;;;;26294;13141;13153
BANCOS;CAIXABANK, S.A.;2018;S1;2018091928;15111;<repositoryPath>/2018091928.xbrl;22670323000;;6337604000;;10852318000;3161347000;1321619000;;;;;;;;;;;;;29288;13563;15725
BANCOS;CAIXABANK, S.A.;2018;S2;2019024264;2557;<repositoryPath>/2019024264.xbrl;19158213000;;6021724000;;11339607000;2175328000;1243503000;;;;;;;;;;;;;29383;13598;15785
BANCOS;DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA;2018;S1;2018112030;469;<repositoryPath>/2018112030.xbrl;1349963444;;17347836;;262855226;105670286;;;;;;;;;;;;;;2190;1124;1066
BANCOS;IBERCAJA BANCO, S.A.;2018;S1;2018095043;17728;<repositoryPath>/2018095043.xbrl;1503432000;;1007325000;;1392451000;271011000;22752000;;;;;;;;;;;;;5245;2778;2467
BANCOS;IBERCAJA BANCO, S.A.;2018;S2;2019028909;261;<repositoryPath>/2019028909.xbrl;1118206000;;941991000;;1383560000;189833000;24961000;;;;;;;;;;;;;5061;2645;2416
BANCOS;KUTXABANK, S.A.;2018;S1;2018111577;2236;<repositoryPath>/2018111577.xbrl;4063298000;;998262000;;1958927000;225088000;0;;;;;;;;;;;;;3782;1527;2255
BANCOS;LIBERBANK, S.A.;2018;S1;2018096819;7592;<repositoryPath>/2018096819.xbrl;1230187000;;1111025000;;1949237000;111164000;0;;;;;;;;;;;;;2190;1050;1140
BANCOS;LIBERBANK, S.A.;2018;S2;2019026532;259;<repositoryPath>/2019026532.xbrl;678485000;;1142121000;;1953078000;97371000;;;;;;;;;;;;;;3280;1480;1800
BANCOS;RENTA 4 BANCO, S.A.;2018;S1;2018088674;3881;<repositoryPath>/2018088674.xbrl;440712000;;40728000;;1819000;1175000;;;;;;;;;;;;;;366;240;126
BANCOS;RENTA 4 BANCO, S.A.;2018;S2;2019010715;1120;<repositoryPath>/2019010715.xbrl;427868000;;40951000;;2571000;948000;;;;;;;;;;;;;;369;242;127
BANCOS;UNICAJA BANCO, S.A.;2018;S1;2018093384;2238;<repositoryPath>/2018093384.xbrl;3059760000;;1224232000;;2651166000;468937000;;;;;;;;;;;;;;3888;2125;1763
BANCOS;UNICAJA BANCO, S.A.;2018;S2;2019025593;256;<repositoryPath>/2019025593.xbrl;4279598000;;1188447000;;2653442000;502735000;;;;;;;;;;;;;;6396;3310;3086
OTROS;INYPSA INFORMES Y PROYECTOS, S.A.;2018;S1;2018111305;3456;<repositoryPath>/2018111305.xbrl;28462114;30791709;59253823;37651827;6652082;14949914;59253823;-286483;-219004;-496797;-496797;;-496797;0.00;0.00;-496797;46075;64810;-385912;217;158;59
OTROS;AIRTIFICIAL INTELLIGENCE STRUCTURES, S.A.;2018;S2;2019025872;2898;<repositoryPath>/2019025872.xbrl;160950000;90592000;251542000;123286000;56688000;71568000;251542000;;;;;;;;;;;;;127;76;51
OTROS;ALMIRALL, S.A.;2018;S1;2018092938;2302;<repositoryPath>/2018092938.xbrl;1664746000;295191000;1959937000;1155805000;545705000;258427000;1959937000;64961000;-5702000;59259000;51988000;;51988000;;;51988000;-13003000;8530000;47515000;570;246;324
OTROS;ALMIRALL, S.A.;2018;S2;2019023765;153;<repositoryPath>/2019023765.xbrl;1975136000;414370000;2389506000;1191749000;953689000;244068000;2389506000;;;;;;;;;;;;;572;246;326
OTROS;AMPER, S.A.;2018;S1;2018088764;3049;<repositoryPath>/2018088764.xbrl;25429000;176098000;201527000;50268000;24724000;126535000;201527000;6762000;-636000;6355000;6285000;5896000;12181000;0.010;0.009;12181000;;418000;12599000;20;12;8
OTROS;AMPER, S.A.;2018;S2;2019025116;139;<repositoryPath>/2019025116.xbrl;32016000;107539000;139555000;41135000;15098000;83322000;139555000;;;;;;;;;;;;;21;12;9
OTROS;APPLUS SERVICES, S.A.;2018;S1;2018088112;10176;<repositoryPath>/2018088112.xbrl;1422887000;600677000;2023564000;802893000;832506000;388165000;2023564000;51606000;-9301000;42308000;30854000;;30854000;0.16;0.16;30854000;;-4494000;26360000;7;6;1
OTROS;APPLUS SERVICES, S.A.;2018;S2;2019024399;156;<repositoryPath>/2019024399.xbrl;1425755000;571715000;1997470000;810885000;842448000;344137000;1997470000;;;;;;;;;;;;;7;6;1
OTROS;CLINICA BAVIERA, S.A.;2018;S1;2018097423;611;<repositoryPath>/2018097423.xbrl;39774000;14400000;54174000;23945000;11252000;18977000;54174000;10420000;-96000;10324000;7037000;0;7037000;0.43;0.43;7037000;0;17000;7054000;542;96;446
OTROS;CLINICA BAVIERA, S.A.;2018;S2;2019026649;562;<repositoryPath>/2019026649.xbrl;43134000;12696000;55830000;28764000;8635000;18431000;55830000;;;;;;;;;;;;;546;97;449
OTROS;CARTERA INDUSTRIAL REA, S.A.;2018;S1;2018099407;497;<repositoryPath>/2018099407.xbrl;;;;;;;;;;;;;;;;;;;;1;;1
OTROS;CARTERA INDUSTRIAL REA, S.A.;2018;S2;2019026488;1993;<repositoryPath>/2019026488.xbrl;0;0;0;;;;;;;;;;;;;;;;;1;;1
OTROS;CELLNEX TELECOM, S.A.;2018;S1;2018090983;6131;<repositoryPath>/2018090983.xbrl;4104286000;867132000;4971418000;609154000;3853861000;508403000;4971418000;29994000;-75605000;-45557000;-32141000;;-32141000;-0.13;-0.13;-32141000;;-467000;-32608000;29;23;6
OTROS;CELLNEX TELECOM, S.A.;2018;S2;2019023289;160;<repositoryPath>/2019023289.xbrl;4479307000;653886000;5133193000;615366000;4008018000;509809000;5133193000;;;;;;;;;;;;;37;29;8
OTROS;CODERE, S.A.;2018;S1;2018104952;3631;<repositoryPath>/2018104952.xbrl;977466070;275197141;1252663211;-21196549;932877119;340982641;1252663211;51908053;-55448379;-3797395;-31412260;;-31412260;-0.27;-0.27;-31412260;;3424822;-27987438;0;0;0
OTROS;CODERE, S.A.;2018;S2;2019025797;160;<repositoryPath>/2019025797.xbrl;1137037000;307527000;1444564000;92122000;964002000;388440000;1444564000;;;;;;;;;;;;;0;;
OTROS;CORPORACION FINANCIERA ALBA, S.A.;2018;S1;2018108926;1036;<repositoryPath>/2018108926.xbrl;3553710000;739499000;4293209000;4029040000;217004000;47165000;4293209000;5409000;4399000;73240000;71790000;;71790000;1.17;1.17;71790000;-9107000;;62683000;41;28;13
OTROS;CORPORACION FINANCIERA ALBA, S.A.;2018;S2;2019026811;425;<repositoryPath>/2019026811.xbrl;3638911000;629236000;4268147000;4058900000;177777000;31470000;4268147000;;;;;;;;;;;;;45;29;16
OTROS;DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.;2018;S1;2018089932;1730;<repositoryPath>/2018089932.xbrl;2335438000;1045256000;3380694000;190646000;1094061000;2095987000;3380694000;54004000;-35327000;19124000;13929000;-8026000;5903000;;;5903000;;-30565000;-24662000;14742;4844;9898
OTROS;DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.;2018;S2;2019018120;178;<repositoryPath>/2019018120.xbrl;2072440000;1199373000;3271813000;-166062000;967269000;2470606000;3271813000;;;;;;;;;;;;;15069;5007;10062
OTROS;ECOLUMBER, S.A.;2018;S1;2018111774;1889;<repositoryPath>/2018111774.xbrl;22004029.35;1739507.04;23743536.39;11932824.15;3532501.19;8278211.05;23743536.39;-258430.68;-73192.71;-331623.39;-331623.39;;-331623.39;;;-331623.39;-118693.99;;-450317.38;;;
OTROS;ECOLUMBER, S.A.;2018;S2;2019026867;808;<repositoryPath>/2019026867.xbrl;24728000;6749000;31477000;19859000;6061000;5557000;31477000;;;;;;;;;;;;;;;
OTROS;ELECNOR, S.A.;2018;S1;2018091088;5533;<repositoryPath>/2018091088.xbrl;2216849000;1322138000;3538987000;774447000;1514454000;1250086000;3538987000;80371000;-4947000;73829000;49764000;;49764000;0.42;0.42;49764000;-100064000;15140000;-35160000;9408;8362;1046
OTROS;ELECNOR, S.A.;2018;S2;2019025951;184;<repositoryPath>/2019025951.xbrl;2306912000;1483767000;3790679000;840707000;1556407000;1393565000;3790679000;;;;;;;;;;;;;9478;8424;1054
OTROS;FLUIDRA, S.A.;2018;S1;2018092955;3120;<repositoryPath>/2018092955.xbrl;330453000;561397000;891850000;374422000;61175000;456253000;891850000;48234000;-4481000;43795000;30828000;2654000;33482000;0.27;0.27;33482000;0;-687000;32795000;190;121;69
OTROS;FLUIDRA, S.A.;2018;S2;2019025900;787;<repositoryPath>/2019025900.xbrl;2094596000;784608000;2879204000;1440721000;1109197000;329286000;2879204000;;;;;;;;;;;;;193;123;70
OTROS;FUNESPAÑA, S.A.;2018;S1;2018103008;2731;<repositoryPath>/2018103008.xbrl;117589000;52641000;170230000;121782000;25550000;22898000;170230000;3585000;-438000;4495000;3571000;;3571000;0.18;0.18;3571000;;-15000;3556000;290;206;84
OTROS;GENERAL DE ALQUILER DE MAQUINARIA, S.A.;2018;S1;2018092970;5486;<repositoryPath>/2018092970.xbrl;156471000;57789000;214260000;-15706000;186318000;43648000;214260000;4166000;-4592000;-426000;-1484000;;-1484000;-0.05;0.03;-1484000;-572000;;-2056000;81;34;47
OTROS;GENERAL DE ALQUILER DE MAQUINARIA, S.A.;2018;S2;2019026892;7389;<repositoryPath>/2019026892.xbrl;154365000;53091000;207456000;-17366000;179906000;44916000;207456000;;;;;;;;;;;;;82;34;48
