Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I1040;I1085;I1100;I1195;I1120;I1130;I1200;I1245;I1256;I1265;I1280;I1285;I1288;I1290;I1295;I1305;I1310;I1350;I1400;I2295;I2296;I2297
QUÍMICAS;ERCROS, S.A.;2018;S2;2019025924;163;<repositoryPath>/2019025924.xbrl;367081000;239490000;606571000;272669000;100002000;233900000;606571000;;;;;;;;;;;;;1288;1087;201
QUÍMICAS;FAES FARMA, S.A.;2018;S1;2018091079;6741;<repositoryPath>/2018091079.xbrl;260962000;205378000;466340000;343896000;13199000;109245000;466340000;32717000;189000;32906000;29324000;;29324000;0.110;0.110;29324000;;-22000;29302000;556;281;275
QUÍMICAS;FAES FARMA, S.A.;2018;S2;2019025883;153;<repositoryPath>/2019025883.xbrl;263223000;217581000;480804000;360154000;16899000;103751000;480804000;;;;;;;;;;;;;547;269;278
QUÍMICAS;LABORATORIOS FARMACEUTICOS ROVI, S.A.;2018;S1;2018089941;6134;<repositoryPath>/2018089941.xbrl;130674000;181573000;312247000;193114000;27942000;91191000;312247000;7483000;-431000;7027000;7550000;;7550000;0.15;;7550000;;-1000;7549000;461;191;270
QUÍMICAS;LABORATORIOS FARMACEUTICOS ROVI, S.A.;2018;S2;2019024385;690;<repositoryPath>/2019024385.xbrl;148696000;254004000;402700000;287472000;27716000;87512000;402700000;;;;;;;;;;;;;471;196;275
QUÍMICAS;LABORATORIO REIG JOFRE, S.A.;2018;S1;2018097520;1281;<repositoryPath>/2018097520.xbrl;126381000;85403000;211784000;143850000;27515000;40419000;211784000;3885000;-403000;3482000;2960000;;2960000;0.05;0.05;2960000;;-664000;2296000;808;362;446
QUÍMICAS;LABORATORIO REIG JOFRE, S.A.;2018;S2;2019026822;170;<repositoryPath>/2019026822.xbrl;137815000;81860000;219675000;149740000;30889000;39046000;219675000;;;;;;;;;;;;;794;336;458
TEXTIL Y PAPELERAS;ADOLFO DOMINGUEZ, S.A.;2018;S1;2018132417;1588;<repositoryPath>/2018132417.xbrl;29945763;46170591;76116354;54312086;1025483;20778785;76116354;-4142885;-819883;-4962768;-5184967;;-5184967;-0.54;-0.54;-5184967;-1031013;;-6215980;1112;164;948
TEXTIL Y PAPELERAS;ADVEO GROUP INTERNATIONAL, S.A.;2018;S1;2018109915;1918;<repositoryPath>/2018109915.xbrl;168366000;131251000;299617000;32488000;163615000;103514000;299617000;-11129000;-4624000;-15753000;-18290000;0;-18290000;-0.85;-0.85;-18290000;0;0;-18290000;27;16;11
TEXTIL Y PAPELERAS;ENCE ENERGIA Y CELULOSA, S.A.;2018;S1;2018088651;13045;<repositoryPath>/2018088651.xbrl;947517000;408437000;1355954000;669373000;418497000;268084000;1355954000;96902000;-27703000;69199000;51331000;;51331000;0.21;0.21;51331000;;-16788000;34543000;471;355;116
TEXTIL Y PAPELERAS;ENCE ENERGIA Y CELULOSA, S.A.;2018;S2;2019024935;171;<repositoryPath>/2019024935.xbrl;1200009000;524218000;1724227000;697296000;583336000;443595000;1724227000;;;;;;;;;;;;;471;354;117
TEXTIL Y PAPELERAS;PAPELES Y CARTONES DE EUROPA, S.A.;2018;S1;2018089910;1903;<repositoryPath>/2018089910.xbrl;842351000;321335000;1163686000;424626000;280126000;458934000;1163686000;78038000;-4287000;73859000;54459000;;54459000;0.583;0.583;54459000;0;86000;54545000;618;494;124
TEXTIL Y PAPELERAS;GRIFOLS, S.A.;2018;S1;2018091072;3281;<repositoryPath>/2018091072.xbrl;8486246000;2947373000;11433619000;3971244000;6446685000;1015690000;11433619000;506242000;-103188000;397325000;317883000;0;317883000;0.47;0.47;317883000;0;132372000;450255000;610;353;257
TEXTIL Y PAPELERAS;GRIFOLS, S.A.;2018;S2;2019025920;173;<repositoryPath>/2019025920.xbrl;8993795000;3483251000;12477046000;4696604000;6523121000;1257321000;12477046000;;;;;;;;;;;;;619;356;263
TEXTIL Y PAPELERAS;IBERPAPEL GESTION, S.A.;2018;S1;2018088629;821;<repositoryPath>/2018088629.xbrl;139240804;219176568;358417372;239172690;77552946;41691736;358417372;15040389;9298;15049687;12486959;;12486959;1.182;1.182;12486959;;-3815244;8671715;5;3;2
TEXTIL Y PAPELERAS;IBERPAPEL GESTION, S.A.;2018;S2;2019025767;144;<repositoryPath>/2019025767.xbrl;158883000;224062000;382945000;255358000;74504000;53083000;382945000;;;;;;;;;;;;;5;3;2
TEXTIL Y PAPELERAS;LIWE ESPAÑOLA, S.A.;2018;S1;2018111762;935;<repositoryPath>/2018111762.xbrl;63086461;67341498;130427959;60224300;10772990;59430669;130427959;963214;1547912;2511126;1821629;;1821629;1.09;1.09;1821629;;;1821629;1540;234;1306
TEXTIL Y PAPELERAS;LIWE ESPAÑOLA, S.A.;2018;S2;2019026990;160;<repositoryPath>/2019026990.xbrl;60235000;59638000;119873000;64837000;8654000;46382000;119873000;;;;;;;;;;;;;1647;253;1394
TEXTIL Y PAPELERAS;MIQUEL Y COSTAS;2018;S1;2018110323;371;<repositoryPath>/2018110323.xbrl;240262000;149758000;390020000;264937000;67766000;57317000;390020000;25294000;596000;25896000;19812000;;19812000;1.02;1.02;19812000;3816000;;23628000;519;344;175
TEXTIL Y PAPELERAS;MIQUEL Y COSTAS;2018;S2;2019025826;255;<repositoryPath>/2019025826.xbrl;216365000;188735000;405100000;270494000;72796000;61810000;405100000;;;;;;;;;;;;;524;348;176
TEXTIL Y PAPELERAS;NUEVA EXPRESIÓN TEXTIL, S.A;2018;S1;2018111810;2516;<repositoryPath>/2018111810.xbrl;18134257;33794743;51929000;-7796153;8825320;50899833;51929000;-4329199;-597094;-4926293;-4829277;;-4829277;;;-4829277;;-16561;-4845838;3;1;2
TEXTIL Y PAPELERAS;NUEVA EXPRESIÓN TEXTIL, S.A;2018;S2;2019026963;2135;<repositoryPath>/2019026963.xbrl;32309000;37854000;70163000;3194000;19357000;47612000;70163000;;;;;;;;;;;;;6;3;3
COMERCIO;AENA, S.M.E., S.A.;2018;S1;2018088680;7430;<repositoryPath>/2018088680.xbrl;13928857000;764250000;14693107000;5222021000;7687144000;1783942000;14693107000;724914000;-58457000;675093000;512271000;0;512271000;3.43;3.43;512271000;;3695000;515966000;7478;4847;2631
COMERCIO;AENA, S.M.E., S.A.;2018;S2;2019024968;174;<repositoryPath>/2019024968.xbrl;13785594000;1113476000;14899070000;6023805000;7376773000;1498492000;14899070000;;;;;;;;;;;;;7547;4883;2664
COMERCIO;EROSKI SOCIEDAD COOPERATIVA;2018;S1;2018124347;3955;<repositoryPath>/2018124347.xbrl;2578231672;1004413410;3582645082;268077067;418963951;2895604064;3582645082;83373615;-62320162;19563052;14918782;-127643;14791139;;;14791139;;1947040;16738179;11444;2203;9241
COMERCIO;INDUSTRIA DE DISEÑO TEXTIL, S.A.;2018;S1;2018111583;2603;<repositoryPath>/2018111583.xbrl;10670001000;9984234000;20654235000;12631905000;1563564000;6458766000;20654235000;1784157000;21308000;1823467000;1410816000;;1410816000;0.45;0.45;1410816000;;20142908;1430958908;1973;858;1115
COMERCIO;INDUSTRIA DE DISEÑO TEXTIL, S.A.;2018;S2;2019036710;620;<repositoryPath>/2019036710.xbrl;11063802000;10620015000;21683817000;14682441000;1618185000;5383191000;21683817000;;;;;;;;;;;;;2002;875;1127
