Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I2295;I2296;I2297
TEXTIL Y PAPELERAS;LIWE ESPAÑOLA, S.A.;2018;S1;2018111762;935;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111762.xbrl;1540;234;1306
COMERCIO;AENA, S.M.E., S.A.;2018;S1;2018088680;7430;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018088680.xbrl;7478;4847;2631
COMERCIO;AENA, S.M.E., S.A.;2018;S2;2019024968;174;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024968.xbrl;7547;4883;2664
COMERCIO;EROSKI SOCIEDAD COOPERATIVA;2018;S1;2018124347;3955;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018124347.xbrl;11444;2203;9241
COMERCIO;INDUSTRIA DE DISEÑO TEXTIL, S.A.;2018;S1;2018111583;2603;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111583.xbrl;1973;858;1115
METAL MECÁNICA;ACERINOX, S.A.;2018;S1;2018091082;7880;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018091082.xbrl;63;36;27
METAL MECÁNICA;ACERINOX, S.A.;2018;S2;2019025940;168;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025940.xbrl;62;35;27
METAL MECÁNICA;CIE AUTOMOTIVE, S.A.;2018;S1;2018088753;7649;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018088753.xbrl;66;39;27
METAL MECÁNICA;CIE AUTOMOTIVE, S.A.;2018;S2;2019023773;174;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019023773.xbrl;65;39;26
METAL MECÁNICA;DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.;2018;S1;2018111259;630;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111259.xbrl;1;1;None
METAL MECÁNICA;DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.;2018;S2;2019025957;532;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025957.xbrl;1;1;None
METAL MECÁNICA;LINGOTES ESPECIALES, S.A.;2018;S1;2018087413;286;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018087413.xbrl;449;426;23
METAL MECÁNICA;LINGOTES ESPECIALES, S.A.;2018;S2;2019026439;149;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026439.xbrl;437;414;23
METAL MECÁNICA;NYESA VALORES CORPORACION, S.A.;2018;S1;2018111798;1037;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111798.xbrl;10;5;5
METAL MECÁNICA;NYESA VALORES CORPORACION, S.A.;2018;S2;2019026685;1557;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026685.xbrl;10;5;5
ALIMENTACIÓN;BARON DE LEY, S.A.;2018;S1;2018090096;238;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090096.xbrl;35;25;10
ALIMENTACIÓN;BARON DE LEY, S.A.;2018;S2;2019026680;152;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026680.xbrl;38;28;10
ALIMENTACIÓN;BIOSEARCH, S.A.;2018;S1;2018092096;3275;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092096.xbrl;152;89;63
